exchange,uptake
EX_btn_e,1000
EX_nh4_e,1000
EX_so4_e,1000
EX_pnto__R_e,1000
EX_ca2_e,1000
EX_inost_e,1000
EX_nac_e,1000
EX_4abz_e,1000
EX_pydxn_e,1000
EX_ribflv_e,1000
EX_thm_e,1000
EX_cu2_e,1000
EX_k_e,1000
EX_i_e,1000
EX_ferrich_e,1000
EX_glc__D_e,1000
EX_ala__L_e,1000
EX_arg__L_e,1000
EX_asp__L_e,1000
EX_cystine__L_e,1000
EX_glu__L_e,1000
EX_gly_e,1000
EX_his__D_e,1000
EX_ile__L_e,1000
EX_leu__L_e,1000
EX_lys__L_e,1000
EX_met__D_e,1000
EX_phe__L_e,1000
EX_pro__L_e,1000
EX_ser__L_e,1000
EX_thr__L_e,1000
EX_trp__L_e,1000
EX_mn2_e,1000
EX_mobd_e,1000
EX_zn2_e,1000
EX_pi_e,1000
EX_mg2_e,1000
EX_cl_e,1000
EX_na1_e,1000
EX_val__L_e,1000
